記録ID,年月日,山頂ID,山名,山行ID,備考
1,2019/05/03,44,筑波山,1,
2,2019/09/05,87,白山,2,
3,2019/09/02,79,鳳凰山,3,
4,2019/08/25,24,那須岳,4,
5,2019/10/06,28,燧ヶ岳,5,
6,2019/11/23,146,三ッ峠山,6,
7,2019/12/08,145,大岳山,7,
8,2023/10/14,30,谷川岳,8,
9,2024/08/06,74,木曽駒ヶ岳,9,
10,2024/08/25,72,富士山,10,
11,2024/09/14,78,仙丈ヶ岳,11,
12,2024/12/14,145,大岳山,12,
13,2023/09/16,29,至仏山,13,
14,2024/05/26,235,大山,14,
15,2019/03/31,236,金時山,15,高校３年時春山
17,2019/03/31,55,奥穂高,16,高校２年の夏山
18,2019/03/31,160,大天井岳,17,高校１年の夏山
19,2019/03/31,56,常念岳,17,高校１年の夏山
20,2025/08/23,69,瑞牆山,18,
21,2025/08/24,68,金峰山,18,
22,2021/12/05,145,大岳山,19,
